tanggal;tinggi_gelombang
15/09/2013;0,150833333
16/09/2013;0,2225
17/09/2013;0,236666667
18/09/2013;0,2525
19/09/2013;0,253333333
20/09/2013;0,174583333
21/09/2013;0,2125
22/09/2013;0,2125
23/09/2013;0,19
24/09/2013;0,150833333
25/09/2013;0,2225
26/09/2013;0,236666667
27/09/2013;0,2525
28/09/2013;0,253333333
29/09/2013;0,223684211
30/09/2013;0,211666667
01/10/2013;0,113333333
02/10/2013;0,213333333
03/10/2013;0,213333333
04/10/2013;0,279166667
05/10/2013;0,204166667
06/10/2013;0,172916667
07/10/2013;0,213333333
08/10/2013;0,213333333
09/10/2013;0,204166667
10/10/2013;0,279166667
11/10/2013;0,172916667
12/10/2013;0,213333333
13/10/2013;0,262083333
14/10/2013;0,213333333
15/10/2013;0,19875
16/10/2013;0,279166667
17/10/2013;0,262083333
18/10/2013;0,19875
19/10/2013;0,245833333
20/10/2013;0,2725
21/10/2013;0,262083333
22/10/2013;0,268333333
23/10/2013;0,164166667
24/10/2013;0,245833333
25/10/2013;0,141666667
26/10/2013;0,092083333
27/10/2013;0,69625
28/10/2013;0,241666667
29/10/2013;0,08875
30/10/2013;0,235416667
31/10/2013;0,19
01/11/2013;0,19
02/11/2013;0,150833333
03/11/2013;0,2225
04/11/2013;0,236666667
05/11/2013;0,249166667
06/11/2013;0,203333333
07/11/2013;0,12
08/11/2013;0,186666667
09/11/2013;0,253333333
10/11/2013;0,174583333
11/11/2013;0,174583333
12/11/2013;0,2125
13/11/2013;0,2125
14/11/2013;0,19
15/11/2013;0,19
16/11/2013;0,150833333
17/11/2013;0,2225
18/11/2013;0,236666667
19/11/2013;0,2525
20/11/2013;0,206666667
21/11/2013;0,10375
22/11/2013;0,186666667
23/11/2013;0,2525
24/11/2013;0,206666667
25/11/2013;0,10375
26/11/2013;0,186666667
27/11/2013;0,235416667
28/11/2013;0,19
29/11/2013;0,19
30/11/2013;0,150833333
01/12/2013;0,2225
02/12/2013;0,236666667
03/12/2013;0,2525
04/12/2013;0,206666667
05/12/2013;0,10375
06/12/2013;0,186666667
07/12/2013;0,253333333
08/12/2013;0,174583333
09/12/2013;0,174583333
10/12/2013;0,2125
11/12/2013;0,2125
12/12/2013;0,19
13/12/2013;0,19
14/12/2013;0,150833333
15/12/2013;0,2225
16/12/2013;0,236666667
17/12/2013;0,2525
18/12/2013;0,206666667
19/12/2013;0,10375
20/12/2013;0,186666667
21/12/2013;0,253333333
22/12/2013;0,174583333
23/12/2013;0,174583333
24/12/2013;0,206666667
25/12/2013;0,10375
26/12/2013;0,186666667
27/12/2013;0,253333333
28/12/2013;0,174583333
29/12/2013;0,174583333
30/12/2013;0,2125
31/12/2013;0,2125
01/01/2014;0,19
02/01/2014;0,19
03/01/2014;0,150833333
04/01/2014;0,2225
05/01/2014;0,236666667
06/01/2014;0,2525
07/01/2014;0,354166667
08/01/2014;0,961666667
09/01/2014;0,241666667
10/01/2014;0,08875
11/01/2014;0,235416667
12/01/2014;0,19
13/01/2014;0,19
14/01/2014;0,150833333
15/01/2014;0,2225
16/01/2014;0,236666667
17/01/2014;0,2525
18/01/2014;0,206666667
19/01/2014;0,10375
20/01/2014;0,186666667
21/01/2014;0,253333333
22/01/2014;0,174583333
23/01/2014;0,174583333
24/01/2014;0,08875
25/01/2014;0,235416667
26/01/2014;0,19
27/01/2014;0,19
28/01/2014;0,150833333
29/01/2014;0,2225
30/01/2014;0,236666667
31/01/2014;0,2525
01/02/2014;0,262083333
02/02/2014;0,10375
03/02/2014;0,259166667
04/02/2014;0,253333333
05/02/2014;0,239583333
06/02/2014;0,239583333
07/02/2014;0,2125
08/02/2014;0,31875
09/02/2014;0,19
10/02/2014;0,19
11/02/2014;0,150833333
12/02/2014;0,2225
13/02/2014;0,236666667
14/02/2014;0,2525
15/02/2014;0,206666667
16/02/2014;0,10375
17/02/2014;0,186666667
18/02/2014;0,253333333
19/02/2014;0,174583333
20/02/2014;0,2125
21/02/2014;0,3875
22/02/2014;0,581666667
23/02/2014;0,19
24/02/2014;0,150833333
25/02/2014;0,2225
26/02/2014;0,236666667
