januari;;februari;;maret;;april;;mei;;juni;;juli;;agustus;;september;;oktober;;november;;desember;
tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang
21/01/2013;0,1108;21/02/2013;0,1133;21/03/2013;0,2942;21/04/2013;0,2000;21/05/2013;0,2542;21/06/2013;0,3975;21/07/2013;0,1988;21/08/2013;0,3500;21/09/2013;0,2125;21/10/2013;0,2621;21/11/2013;0,1038;21/12/2013;0,2533
22/01/2013;0,0554;22/02/2013;0,2133;22/03/2013;0,2621;22/04/2013;0,2000;22/05/2013;0,2221;22/06/2013;0,2725;22/07/2013;0,2458;22/08/2013;1,0000;22/09/2013;0,2125;22/10/2013;0,2683;22/11/2013;0,1867;22/12/2013;0,1746
23/01/2013;0,1075;23/02/2013;0,2133;23/03/2013;0,2833;23/04/2013;0,2958;23/05/2013;0,1883;23/06/2013;0,3283;23/07/2013;1,0000;23/08/2013;0,2067;23/09/2013;0,1900;23/10/2013;0,1642;23/11/2013;0,2525;23/12/2013;0,1746
24/01/2013;0,2763;24/02/2013;0,2792;24/03/2013;0,2942;24/04/2013;0,2000;24/05/2013;0,2800;24/06/2013;0,3325;24/07/2013;0,1867;24/08/2013;0,1508;24/09/2013;0,1508;24/10/2013;0,2458;24/11/2013;0,2067;24/12/2013;0,2067
25/01/2013;0,2067;25/02/2013;0,2042;25/03/2013;0,0367;25/04/2013;0,1988;25/05/2013;0,2688;25/06/2013;0,5342;25/07/2013;0,2533;25/08/2013;0,2217;25/09/2013;0,2225;25/10/2013;0,1417;25/11/2013;0,1038;25/12/2013;0,1038
26/01/2013;0,0521;26/02/2013;0,1729;26/03/2013;0,0633;26/04/2013;0,2458;26/05/2013;0,2525;26/06/2013;0,2458;26/07/2013;0,1746;26/08/2013;0,2533;26/09/2013;0,2367;26/10/2013;0,0921;26/11/2013;0,1867;26/12/2013;0,1867
27/01/2013;0,0250;27/02/2013;0,2133;27/03/2013;0,0317;27/04/2013;0,2725;27/05/2013;0,2538;27/06/2013;1,0000;27/07/2013;0,1746;27/08/2013;0,1746;27/09/2013;0,2525;27/10/2013;0,6963;27/11/2013;0,2354;27/12/2013;0,2533
28/01/2013;0,0250;28/02/2013;0,2133;28/03/2013;0,2621;28/04/2013;0,2621;28/05/2013;0,2654;28/06/2013;1,0000;28/07/2013;0,2125;28/08/2013;0,1863;28/09/2013;0,2533;28/10/2013;0,2417;28/11/2013;0,1900;28/12/2013;0,1746
29/01/2013;0,1875;;;29/03/2013;0,1988;29/04/2013;0,0554;29/05/2013;0,2638;29/06/2013;0,7900;29/07/2013;0,2458;29/08/2013;0,2125;29/09/2013;0,2237;29/10/2013;0,0888;29/11/2013;0,1900;29/12/2013;0,1746
30/01/2013;0,2292;;;30/03/2013;0,2458;30/04/2013;0,1075;30/05/2013;0,2533;30/06/2013;0,2683;30/07/2013;0,1746;30/08/2013;0,2125;30/09/2013;0,2117;30/10/2013;0,2354;30/11/2013;0,1508;30/12/2013;0,2125
31/01/2013;0,2958;;;31/03/2013;0,2725;;;31/05/2013;0,1746;;;31/07/2013;0,1546;31/08/2013;0,1900;;;31/10/2013;0,1900;;;31/12/2013;0,2125
