No,Tahun,Monthly,"Tinggi Gelombang",Periode,YL-t-Yt,At,Tt,St-L,St,Forecast,,Da-Df,|Da-Df|,(Da-Df)^2,|(Da-Df)/Da|
1,2013,Januari,0.13,1,0.1,,,,0.044166666666667,,,,,,
2,2013,Februari,0.14,2,0.09,,,,0.054166666666667,,,,,,
3,2013,Maret,0.21,3,0.01,,,,0.12416666666667,,,,,,
4,2013,April,0.24,4,0.13,,,,0.15416666666667,,,,,,
5,2013,Mei,0.22,5,0.24,,,,0.13416666666667,,,,,,
6,2013,Juni,0.38,6,0.16,,,,0.29416666666667,,,,,,
7,2013,Juli,0.25,7,0.14,,,,0.16416666666667,,,,,,
8,2013,Agustus,0.21,8,0.01,,,,0.12416666666667,,,,,,
9,2013,September,0.21,9,0.05,,,,0.12416666666667,,,,,,
10,2013,Oktober,0.23,10,0.03,,,,0.14416666666667,,,,,,
11,2013,November,0.19,11,0.01,,,,0.10416666666667,,,,,,
12,2013,Desember,0.20,12,0.06,0.085833333333333,0.0071527777777778,,0.11416666666667,,,,,,
13,2014,Januari,0.23,13,,0.093914583333333,0.0071620625,0.044166666666667,0.045085854166667,0.13715277777778,,0.092847222222222,0.092847222222222,0.0086206066743827,0.40368357487923
14,2014,Februari,0.23,14,,0.10182421270833,0.00716953816875,0.054166666666667,0.054906757872917,0.1552433125,,0.0747566875,0.0747566875,0.0055885623259727,0.32502907608696
15,2014,Maret,0.22,15,,0.10886214670165,0.0071682221269956,0.12416666666667,0.12403637853298,0.23316041754375,,-0.01316041754375,0.01316041754375,0.00017319658992584,0.059820079744318
16,2014,April,0.37,16,,0.11702839847369,0.0071782024234461,0.15416666666667,0.15515471601526,0.27019703549531,,0.099802964504692,0.099802964504692,0.0099606317239248,0.26973774190457
17,2014,Mei,0.46,17,,0.1262228682215,0.0071983650966897,0.13416666666667,0.13616277131779,0.2583732675638,,0.2016267324362,0.2016267324362,0.040653339232899,0.43831898355695
18,2014,Juni,0.54,18,,0.13454535431834,0.0072096063066912,0.29416666666667,0.29527954645682,0.42758789998485,,0.11241210001515,0.11241210001515,0.012636480229815,0.20817055558361
19,2014,Juli,0.39,19,,0.14259574435211,0.0072180141439621,0.16416666666667,0.16499904255648,0.3059216272917,,0.084078372708304,0.084078372708304,0.0070691727572766,0.21558557104693
20,2014,Agustus,0.22,20,,0.14927395424445,0.0072126161014458,0.12416666666667,0.12363226045756,0.27398042516274,,-0.053980425162741,0.053980425162741,0.0029138863007502,0.24536556892155
21,2014,September,0.26,21,,0.15628003797577,0.0072105507777445,0.12416666666667,0.12396219962024,0.28065323701256,,-0.020653237012559,0.020653237012559,0.00042655619909694,0.079435526971381
22,2014,Oktober,0.26,22,,0.16301401619931,0.0072057850522025,0.14416666666667,0.14369485983801,0.30765725542018,,-0.047657255420178,0.047657255420178,0.0022712139941841,0.18329713623145
23,2014,November,0.20,23,,0.16947593657233,0.0071983464054107,0.10416666666667,0.10343024063428,0.27438646791818,,-0.074386467918179,0.074386467918179,0.0055333466093422,0.37193233959089
24,2014,Desember,0.26,24,,0.1763658734813,0.0071952623104463,0.11416666666667,0.11386134126519,0.29084094964441,,-0.030840949644408,0.030840949644408,0.00095116417496888,0.11861903709388
25,2015,Januari,0.45,25,,0.18577466589216,0.0072173976114504,0.045085854166667,0.047277248966078,0.22864698995841,,0.22135301004159,0.22135301004159,0.048997155054472,0.4918955778702
26,2015,Februari,0.33,26,,0.19381307528984,0.0072256077293128,0.054906757872917,0.055719559541289,0.24789882137653,,0.082101178623474,0.082101178623474,0.0067406035313636,0.24879145037416
27,2015,Maret,0.21,27,,0.19988793240364,0.0072141002231575,0.12403637853298,0.12289713542362,0.32507506155214,,-0.11507506155214,0.11507506155214,0.013242269791229,0.54797648358162
28,2015,April,0.20,28,,0.20547946514037,0.0071978745482933,0.15515471601526,0.15354837420371,0.36225674864206,,-0.16225674864206,0.16225674864206,0.026327252479891,0.81128374321028
29,2015,Mei,0.19,29,,0.2110889385786,0.0071819905371927,0.13616277131779,0.13459025421882,0.34884011100645,,-0.15884011100645,0.15884011100645,0.025230180864542,0.83600058424448
30,2015,Juni,0.19,30,,0.21503542436007,0.0071496354896354,0.29527954645682,0.29207639674865,0.51355047557261,,-0.32355047557261,0.32355047557261,0.10468491024326,1.7028972398558
31,2015,Juli,0.20,31,,0.22031321882564,0.0071309170793948,0.16499904255648,0.16314591994266,0.38718410240618,,-0.18718410240618,0.18718410240618,0.035037888193608,0.93592051203091
32,2015,Agustus,0.23,32,,0.22623337194141,0.0071188094397586,0.12363226045756,0.12243360413357,0.35107639636259,,-0.12107639636259,0.12107639636259,0.014659493756151,0.52641911461996
33,2015,September,0.27,33,,0.23247903757115,0.0071100780016584,0.12396219962024,0.12309778724833,0.35731438100141,,-0.087314381001411,0.087314381001411,0.0076238011296596,0.32338659630152
34,2015,Oktober,0.27,34,,0.23845627581871,0.0070987496041173,0.14369485983801,0.14257334848144,0.38328397541082,,-0.11328397541082,0.11328397541082,0.012833259084879,0.41957027929933
35,2015,November,0.19,35,,0.24396517276225,0.0070828510775116,0.10343024063428,0.10185628650031,0.3489852660571,,-0.1589852660571,0.1589852660571,0.025276314823247,0.83676455819526
36,2015,Desember,0.21,36,,0.24949893018871,0.0070673601410011,0.11386134126519,0.11232773855065,0.36490936510495,,-0.15490936510495,0.15490936510495,0.023996911397219,0.73766364335691
37,2016,Januari,0.11,37,,0.25462785493676,0.0070479757870715,0.047277248966078,0.04535819792705,0.30384353929579,,-0.19384353929579,0.19384353929579,0.03757531772672,1.7622139935981
